,dest airp.,ESGG,ESMS,ESPA,ESSA,ESNO,ESUP,ESFR,ESDF,ESIB,SE-0016,ESNS,ESGR,ESVM,ESMY,ESNB
0,ESGG,0,245.7864853,1016.617284,393.8622697,735.9101964,1197.446108,103.412057,238.3835784,88.67642591,389.9903181,904.8976588,133.0516344,343.1743449,88.58910322,664.3238542
1,ESMS,245.7864853,0,1208.57229,531.4185054,930.1345127,1396.706284,329.9153933,143.0293769,323.8515894,625.9172784,1095.287696,326.7001555,569.9651099,181.5454873,872.9134485
2,ESPA,1016.617284,1208.57229,0,689.1885844,280.8256092,193.8655923,913.2135924,1094.644639,929.3759372,671.0057783,113.3066055,893.9433208,686.8795597,1037.737413,361.3108954
3,ESSA,393.8622697,531.4185054,689.1885844,0,421.5199422,881.6033736,306.1101763,407.5898739,327.2926318,325.0855642,576.6270102,261.8123919,257.51331,379.7023072,394.4561594
4,ESNO,735.9101964,930.1345127,280.8256092,421.5199422,0,466.5754737,632.5259856,820.5828995,648.8903044,404.2738343,169.1958966,613.2954636,410.5982039,757.588991,103.6049268
5,ESUP,1197.446108,1396.706284,193.8655923,881.6033736,466.5754737,0,1094.184613,1285.644029,1109.332726,836.264112,305.0566431,1078.245634,860.8405127,1223.407064,533.9908262
6,ESFR,103.412057,329.9153933,913.2135924,306.1101763,632.5259856,1094.184613,0,281.2797323,21.25691608,296.0449011,801.5447255,53.65711514,243.2285593,149.5978361,561.3625401
7,ESDF,238.3835784,143.0293769,1094.644639,407.5898739,820.5828995,1285.644029,281.2797323,0,284.7136974,561.5340356,981.5418762,255.5081815,496.4717246,149.8440014,773.7082632
8,ESIB,88.67642591,323.8515894,929.3759372,327.2926318,648.8903044,1109.332726,21.25691608,284.7136974,0,303.8682169,818.0245966,73.30305478,254.6953833,146.3223707,575.9295892
9,SE-0016,389.9903181,625.9172784,671.0057783,325.0855642,404.2738343,836.264112,296.0449011,561.5340356,303.8682169,0,567.2300827,307.0111889,73.28344899,444.9460429,310.2976741
10,ESNS,904.8976588,1095.287696,113.3066055,576.6270102,169.1958966,305.0566431,801.5447255,981.5418762,818.0245966,567.2300827,0,781.3345622,578.5460225,924.7777831,257.2022732
11,ESGR,133.0516344,326.7001555,893.9433208,261.8123919,613.2954636,1078.245634,53.65711514,255.5081815,73.30305478,307.0111889,781.3345622,0,245.2870226,146.6285837,548.9708422
12,ESVM,343.1743449,569.9651099,686.8795597,257.51331,410.5982039,860.8405127,243.2285593,496.4717246,254.6953833,73.28344899,578.5460225,245.2870226,0,388.439724,327.2371093
13,ESMY,88.58910322,181.5454873,1037.737413,379.7023072,757.588991,1223.407064,149.5978361,149.8440014,146.3223707,444.9460429,924.7777831,146.6285837,388.439724,0,695.4014526
14,ESNB,664.3238542,872.9134485,361.3108954,394.4561594,103.6049268,533.9908262,561.3625401,773.7082632,575.9295892,310.2976741,257.2022732,548.9708422,327.2371093,695.4014526,0
